,ticker
493,CARV
494,CTRM
495,WISH
496,WISH
497,SOFI
498,HZO
499,PRVB
500,BSVX
501,CLOV
502,LHA
503,RR
504,AF
505,EZJ
506,IAG
507,TSLA
508,LHA
509,RR
510,AF
511,EZJ
512,IAG
513,BSVX
514,LHA
515,RR
516,AF
517,EZJ
518,IAG
519,VIAC
520,WISH
521,CARV
522,BSVX
523,LCID
524,LCID
525,LCID
526,LCID
527,CVM
528,SOS
529,GME
530,GME
531,CVM
532,LCID
533,LCID
534,MRIN
535,LCID
536,LCID
537,LCID
538,LCID
539,WISH
540,CLNE
541,MRIN
542,CVM
543,LCID
544,LCID
545,SQ
546,SIFY
547,BODY
548,LCID
549,LCID
550,WKHS
551,GLBS
552,CDXC
553,TSLA
554,WISH
555,WKHS
556,SIFY
557,SNRY
558,SOFI
559,SNRY
560,VUZI
561,WKHS
562,TSLA
563,TSLA
564,VSTO
565,SOFI
566,VUZI
567,GME
568,SOFI
569,AHT
570,BBBY
571,UTME
572,TRCH
573,RIG
574,OFI
575,VUZI
576,ATOS
577,JKS
578,MU
579,VUZI
580,LCID
581,XXII
582,MU
583,LCID
584,IRBT
585,LCID
586,SPCE
587,ILMN
588,WISH
589,WKHS
590,WISH
591,WISH
592,EBAY
593,WISH
594,LZB
595,WISH
596,RIG
597,EIGR
598,WISH
599,GOEV
600,WKHS
601,NLST
602,GOOG
603,WISH
604,AMC
605,GME
606,CLOV
607,WISH
608,SOFI
609,CRSR
610,WISH
611,WKHS
612,RAD
613,WKHS
614,RSLS
615,CRSR
616,ITRM
617,HEPA
618,RAD
619,HEPA
620,PSFE
621,RAD
622,WKHS
623,PLAY
624,HEPA
625,RAD
626,ZOM
627,RESH
628,PLAY
629,BARK
630,BARK
631,BARK
632,AMC
633,CLOV
634,WISH
635,BODY
636,ITRM
637,WISH
638,WISH
639,SOFI
640,SOFI
641,NVDA
642,LIVX
643,GATO
644,IKNX
645,UTME
646,BSVG
647,TRCH
648,SENS
649,BARK
650,TCHB
651,WKHS
652,IKNX
653,WISH
654,MSTR
655,MNKD
656,SRNE
657,NLY
658,AHT
659,ACB
660,AHT
661,QDEL
662,ZM
663,MSTR
664,SNRY
665,SNRY
666,AMD
667,WISH
668,BB
669,MCRB
670,INDI
671,WKHS
672,NLST
673,BABA
674,PSFE
675,NRXP
676,DKNG
677,MSTR
678,BB
679,BDRB
680,GLBS
681,LZB
682,LZB
683,MAPS
684,WEN
685,MSTR
686,SAVA
687,WISH
688,CCL
689,BBBY
690,WISH
691,WISH
692,RAD
693,WISH
694,WKHS
695,FTI
696,WISH
697,OFI
698,AMC
699,VIAC
700,CLOV
701,AMC
702,WKHS
703,WKHS
704,VIAC
705,WISH
706,UBER
707,QS
708,DSCR
709,BODY
710,PLAY
711,GME
712,EGLX
713,WISH
714,RGGI
715,INO
716,BBIG
717,WISH
718,BBIG
719,WISH
720,BODY
721,RAD
722,VIAC
723,SLGG
724,GLBS
725,CTRM
726,CLNE
727,OSW
728,VTGD
729,SPY
730,SRNG
731,BABA
732,EVOG
733,WISH
734,NNDM
735,CCL
736,AMD
737,EENF
738,SRNG
739,PLAY
740,CHPT
741,EENF
742,UBER
743,EENF
744,WKHS
745,WISH
746,CHPT
747,IBIO
748,CLOV
749,WKHS
750,SOFI
751,WISH
752,MMAT
753,PSFE
754,MNKD
755,ABUS
756,HXCK
757,SOFI
758,LZBI
759,HXCK
760,BODY
761,WKHS
762,RYCE
763,WKHS
764,TWNK
765,SOFI
766,WKHS
767,MRNS
768,UTZ
769,WISH
770,TWNK
771,PLAY
772,AMD
773,AMD
774,GME
775,WKHS
776,BODY
777,WKHS
778,PLUG
779,BODY
780,WISH
781,CLOV
782,RUNT
783,PSFE
784,AMC
785,GME
786,PSFE
787,NGCA
788,PLTR
789,PRPL
790,ALF
791,BODY
792,SPCE
793,BODY
794,SPCE
795,PSFE
796,PSFE
797,BODY
798,CLOV
799,TRCH
800,MMAT
801,BB
802,PLAY
803,PSFE
804,VIAC
805,PLAY
806,PUBM
807,PSFE
808,PSFE
809,SENS
810,WISH
811,GRVY
812,CLOV
813,SPCE
814,WISH
815,PLAY
816,RGLS
817,WISH
818,VIAC
819,RGLS
820,VXRT
821,COCP
822,CLNE
823,SQ
824,ROKU
825,SQ
826,ROKU
827,CARV
828,CARV
829,WISH
830,CARV
831,HTZG
832,CARV
833,CARV
834,VIAC
835,WISH
836,BBBY
837,SOFI
